The data is taken from SM-sinsquare13=0.normh_y.dat produced by the sm in Astray/SM+osciillations, oscillations are taken into account, mass hieararchy is normal
xx=1.276137e+02, dx=2.521190e-01, T=1.400445e+00; time needed till here: 2.000000e+00 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau_normh	Coll_nu_tau_normh	Cforw_nu_tau_normh	Cback_nu_tau_normh
1.969697e+01	7.793574e-07	7.499807e-22	3.035732e-09	0.000000e+00	-0.000000e+00	0.000000e+00	3.011689e-09	0.000000e+00	-0.000000e+00	0.000000e+00	2.925424e-09	0.000000e+00	-0.000000e+00	0.000000e+00
2.000000e+01	6.277162e-07	7.041846e-22	2.246977e-09	0.000000e+00	-0.000000e+00	0.000000e+00	2.228724e-09	0.000000e+00	-0.000000e+00	0.000000e+00	2.163257e-09	0.000000e+00	-0.000000e+00	0.000000e+00
2.030303e+01	5.055801e-07	6.606042e-22	1.663209e-09	0.000000e+00	-0.000000e+00	0.000000e+00	1.649356e-09	0.000000e+00	-0.000000e+00	0.000000e+00	1.599685e-09	0.000000e+00	-0.000000e+00	0.000000e+00
2.060606e+01	4.072083e-07	6.191787e-22	1.231141e-09	0.000000e+00	-0.000000e+00	0.000000e+00	1.220630e-09	0.000000e+00	-0.000000e+00	0.000000e+00	1.182953e-09	0.000000e+00	-0.000000e+00	0.000000e+00
2.090909e+01	3.279769e-07	5.798453e-22	9.113348e-10	0.000000e+00	-0.000000e+00	0.000000e+00	9.033607e-10	0.000000e+00	-0.000000e+00	0.000000e+00	8.747886e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.121212e+01	2.641618e-07	5.425392e-22	6.746218e-10	0.000000e+00	-0.000000e+00	0.000000e+00	6.685741e-10	0.000000e+00	-0.000000e+00	0.000000e+00	6.469116e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.151515e+01	2.127633e-07	5.071946e-22	4.994102e-10	0.000000e+00	-0.000000e+00	0.000000e+00	4.948244e-10	0.000000e+00	-0.000000e+00	0.000000e+00	4.784040e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.181818e+01	1.713655e-07	4.737445e-22	3.697113e-10	0.000000e+00	-0.000000e+00	0.000000e+00	3.662349e-10	0.000000e+00	-0.000000e+00	0.000000e+00	3.537907e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.212121e+01	1.380226e-07	4.421211e-22	2.737053e-10	0.000000e+00	-0.000000e+00	0.000000e+00	2.710705e-10	0.000000e+00	-0.000000e+00	0.000000e+00	2.616414e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.242424e+01	1.111672e-07	4.122565e-22	2.026318e-10	0.000000e+00	-0.000000e+00	0.000000e+00	2.006352e-10	0.000000e+00	-0.000000e+00	0.000000e+00	1.934921e-10	0.000000e+00	-0.000000e+00	0.000000e+00
