xx=6.801460e+00, dx=1.000000e-02, T=1.160608e+00; time needed till here: 3.407000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
7.676768e+00	1.342672e-03	7.020955e-04	4.786834e-04	2.536928e-07	-5.454858e-07	7.991786e-07	4.714481e-04	1.352440e-07	-4.248358e-07	5.600798e-07	4.549685e-04	1.447208e-07	-7.390508e-07	8.837716e-07
7.878788e+00	1.127929e-03	5.989962e-04	3.914531e-04	2.327973e-07	-4.595458e-07	6.923431e-07	3.851930e-04	1.281695e-07	-3.572898e-07	4.854594e-07	3.716682e-04	1.257583e-07	-6.183049e-07	7.440632e-07
8.080808e+00	9.475636e-04	5.106890e-04	3.201213e-04	2.102556e-07	-3.861829e-07	5.964384e-07	3.147148e-04	1.178903e-07	-2.995445e-07	4.174348e-07	3.036081e-04	1.053031e-07	-5.149212e-07	6.202242e-07
8.282828e+00	7.960632e-04	4.351232e-04	2.617869e-04	1.915601e-07	-3.242142e-07	5.157743e-07	2.571284e-04	1.100773e-07	-2.508434e-07	3.609207e-07	2.480078e-04	8.986083e-08	-4.276135e-07	5.174744e-07
8.484848e+00	6.688015e-04	3.705174e-04	2.140798e-04	1.741132e-07	-2.719900e-07	4.461032e-07	2.100751e-04	1.024040e-07	-2.099449e-07	3.123489e-07	2.025850e-04	7.599797e-08	-3.544164e-07	4.304144e-07
8.686869e+00	5.618958e-04	3.153272e-04	1.750657e-04	1.571307e-07	-2.280945e-07	3.852253e-07	1.716301e-04	9.419142e-08	-1.756725e-07	2.698639e-07	1.654752e-04	6.711829e-08	-2.942289e-07	3.613472e-07
8.888889e+00	4.720867e-04	2.682165e-04	1.431573e-04	1.387748e-07	-1.912328e-07	3.300076e-07	1.402155e-04	8.362266e-08	-1.469615e-07	2.305842e-07	1.351579e-04	5.707840e-08	-2.435043e-07	3.005827e-07
9.090909e+00	3.966376e-04	2.280312e-04	1.170635e-04	1.235876e-07	-1.602601e-07	2.838477e-07	1.145483e-04	7.541219e-08	-1.229212e-07	1.983334e-07	1.103913e-04	4.867503e-08	-2.014479e-07	2.501230e-07
9.292929e+00	3.332509e-04	1.937761e-04	9.572815e-05	1.081385e-07	-1.342573e-07	2.423958e-07	9.357984e-05	6.609904e-08	-1.027964e-07	1.688954e-07	9.016065e-05	4.367314e-08	-1.673136e-07	2.109867e-07
9.494949e+00	2.799968e-04	1.645944e-04	7.828396e-05	8.689120e-08	-1.124667e-07	1.993579e-07	7.645066e-05	5.024581e-08	-8.596709e-08	1.362129e-07	7.363507e-05	3.809335e-08	-1.390270e-07	1.771204e-07
9.696970e+00	2.352549e-04	1.397493e-04	6.402060e-05	7.591529e-08	-9.418566e-08	1.701010e-07	6.245750e-05	4.401110e-08	-7.187834e-08	1.158894e-07	6.013662e-05	3.259139e-08	-1.157669e-07	1.483583e-07
9.898990e+00	1.976638e-04	1.186079e-04	5.235745e-05	6.617406e-08	-7.881430e-08	1.449884e-07	5.102588e-05	3.840578e-08	-6.006019e-08	9.846597e-08	4.911122e-05	2.748949e-08	-9.614587e-08	1.236354e-07
1.010101e+01	1.660804e-04	1.006274e-04	4.281994e-05	5.791805e-08	-6.591107e-08	1.238291e-07	4.168644e-05	3.377557e-08	-5.015593e-08	8.393151e-08	4.010627e-05	2.308070e-08	-7.971627e-08	1.027970e-07
1.030303e+01	1.395442e-04	8.534276e-05	3.502065e-05	4.983579e-08	-5.510881e-08	1.049446e-07	3.405651e-05	2.886752e-08	-4.187690e-08	7.074442e-08	3.275206e-05	1.931384e-08	-6.599235e-08	8.530619e-08
1.050505e+01	1.172484e-04	7.235564e-05	2.864245e-05	4.298692e-08	-4.607725e-08	8.906417e-08	2.782298e-05	2.479252e-08	-3.496596e-08	5.975848e-08	2.674576e-05	1.649246e-08	-5.463012e-08	7.112258e-08
1.070707e+01	9.851534e-05	6.132550e-05	2.342642e-05	3.679889e-08	-3.852473e-08	7.532361e-08	2.273044e-05	2.102268e-08	-2.919522e-08	5.021790e-08	2.184040e-05	1.397637e-08	-4.518736e-08	5.916373e-08
1.090909e+01	8.277553e-05	5.196127e-05	1.916067e-05	3.166064e-08	-3.217349e-08	6.383414e-08	1.856998e-05	1.799401e-08	-2.434623e-08	4.234025e-08	1.783441e-05	1.187727e-08	-3.736449e-08	4.924176e-08
1.111111e+01	6.955064e-05	4.401440e-05	1.567199e-05	2.706178e-08	-2.686079e-08	5.392257e-08	1.517107e-05	1.523696e-08	-2.029824e-08	3.553520e-08	1.456310e-05	1.003455e-08	-3.086742e-08	4.090197e-08
1.131313e+01	5.843879e-05	3.727283e-05	1.281884e-05	2.311197e-08	-2.240137e-08	4.551334e-08	1.239433e-05	1.289449e-08	-1.690118e-08	2.979567e-08	1.189162e-05	8.650086e-09	-2.553347e-08	3.418356e-08
1.151515e+01	4.910233e-05	3.155573e-05	1.048521e-05	1.975484e-08	-1.866051e-08	3.841535e-08	1.012575e-05	1.093918e-08	-1.405278e-08	2.499195e-08	9.710075e-06	7.320417e-09	-2.110969e-08	2.843010e-08
1.171717e+01	4.125757e-05	2.670900e-05	8.576426e-06	1.697023e-08	-1.553665e-08	3.250688e-08	8.272350e-06	9.370954e-09	-1.167818e-08	2.104913e-08	7.928713e-06	6.242607e-09	-1.746973e-08	2.371233e-08
1.191919e+01	3.466616e-05	2.260142e-05	7.014950e-06	1.443048e-08	-1.293434e-08	2.736481e-08	6.758066e-06	7.881660e-09	-9.703633e-09	1.758529e-08	6.474136e-06	5.382427e-09	-1.445980e-08	1.984222e-08
1.212121e+01	2.912784e-05	1.912128e-05	5.737763e-06	1.225905e-08	-1.076784e-08	2.302689e-08	5.520943e-06	6.618111e-09	-8.063021e-09	1.468113e-08	5.286406e-06	4.617504e-09	-1.199048e-08	1.660798e-08
1.232323e+01	2.447435e-05	1.617358e-05	4.693247e-06	1.043846e-08	-8.960673e-09	1.939913e-08	4.510341e-06	5.583667e-09	-6.698434e-09	1.228210e-08	4.316559e-06	3.909791e-09	-9.945795e-09	1.385559e-08
